Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm,Arbol_Decision_Regressor_pred_ppm,Random_Forest_Regressor_pred_ppm
1907,4698.232,6240.856,1101.0,0.029,0,0,0.2,0,0.10030751768821775,0,0.06719367588932806,0,0.04,0.642823384885232,0.529033605181847,0.37251395480634897,0.40006802575258305
1908,10055.108,6385.345,1541.0,0.005,0,0,0.0,0,0.04724860344693384,0,0.0,0,0.0,0.3177482940675893,-0.3115285218152417,0.1867157979021039,0.39991536108022196
1909,10768.307,7210.64,1354.6,0.0025,0,0,0.0,0,0.002221540114642499,0,0.0,0,0.04,0.5015331008676444,-0.13159342907726204,0.1867157979021039,0.3981517171290576
1910,6842.361,7921.866,970.0,0.183,1,0,0.4,0,0.20335719834453586,0,0.03278688524590164,1,0.71,0.48530844280358015,0.9702546609683843,0.17964990763046554,0.3980072947749989
1911,5315.348,3201.014,1126.48,0.286,1,1,1.0,1,0.9999974666335407,0,0.0,1,0.7,0.30752945155280975,1.4932102696291083,0.21397319850419855,0.3979798025792911
1912,11050.14,6507.386,1496.27,0.026,0,0,0.2,0,0.07237993731067714,0,0.0,0,0.0,0.46208363556167853,-0.22294258801535283,0.1867157979021039,0.3973137630839587
1913,7128.0,7342.0,1155.0,0.009,0,0,0.4,0,0.09944204362262825,0,0.0,0,0.01,2.1951635500374658,0.533235895612541,0.1867157979021039,0.39728587971752305
1914,5492.003,8007.473,580.0,0.0025,0,0,0.0,0,0.12828370586662752,0,0.0,0,0.02,0.2748189640429631,0.33309642759966007,0.1867157979021039,0.3972400128615081
1915,12448.019,9465.28,1366.139,0.246,1,0,0.2,0,0.44856929494770537,1,1.0,1,0.69,0.3308657942470722,0.4863972444216842,0.21397319850419855,0.3956799163164025
1916,12318.48,6071.788,1493.43,0.005,0,0,0.2,0,0.01940723778487083,0,0.0,0,0.02,0.6456221221577562,-0.03149710574220587,0.1867157979021039,0.3953054363507282
1917,6746.803,7654.855,1054.389,0.017,0,0,0.0,0,0.11233328388593666,0,0.0,0,0.06,0.36681153191302734,0.4981199565071011,0.6375954356047695,0.39439534791149844
1918,4565.0,6230.0,972.0,0.018,0,0,0.4,0,0.11778703622359371,0,0.0,0,0.06,0.34447114946219937,0.25013693832969874,0.555,0.3939498997650278
1919,4610.451,6339.269,1037.0,0.021,0,0,0.4,0,0.15389794950153543,0,0.0,0,0.03,0.32817185768255164,0.625998602052378,0.1867157979021039,0.39390954098711006
1920,6255.471,8251.829,697.0,0.097,0,0,0.0,0,0.29768433957756374,0,0.07142857142857142,0,0.21,0.2937019443984848,0.6301818749295235,0.722991173496274,0.39333714483506166
