Rank,East,North,Level,Au_ppm,Random_Forest_proba,Random_Forest_Regressor_pred_ppm
159,6432.989,7796.449,935.0,0.422,0.74,0.6468712410814896
160,9717.313,3175.588,1463.229,0.29,0.74,0.5715562378539281
161,6383.933,7059.859,1228.0,0.225,0.74,0.5595458541535996
162,6526.869,7759.846,941.609,0.296,0.74,0.40979695971604324
163,4912.899,6732.387,995.0,0.333,0.74,0.3230008151786516
164,6497.0,7701.0,953.0,0.673,0.73,0.5999400507226852
165,4848.251,6220.151,1155.0,0.254,0.73,0.563306012824171
166,4931.0,6656.0,1040.0,0.422,0.73,0.5119292702517233
167,5670.158,6626.205,1284.399,0.115,0.73,0.2851417639623395
168,5420.998,6356.61,1317.0,0.135,0.73,0.2761663194898603
169,5481.0,8260.0,521.0,0.135,0.73,0.17273603156521125
170,5552.0,8319.0,598.0,0.101,0.73,0.1540785577277421
171,9650.171,3166.114,1463.229,2.262,0.72,2.9785782454553997
172,6528.118,7809.41,960.0,1.358,0.72,1.2458206977394373
173,6586.0,7102.0,1158.0,1.221,0.72,1.2166829643104806
174,12479.768,9390.582,1367.0,0.882,0.72,1.0743854326286781
175,6369.0,7187.0,1154.0,0.956,0.72,0.90377689009733
176,6503.0,7681.0,953.0,0.52,0.72,0.8488576836895858
177,4886.0,6801.0,926.0,0.308,0.72,0.5134955185246373
178,5672.192,6625.17,1218.0,0.544,0.72,0.5096565766685714
179,12235.003,9655.366,1353.57,0.184,0.72,0.41854583083892416
180,6188.95,7374.591,1033.0,0.12,0.72,0.1624346298104404
181,6528.818,7820.133,941.609,6.185,0.71,3.5136544573213895
182,4914.05,6713.0,1005.0,0.983,0.71,0.7060608966430364
183,6410.0,7249.0,1107.0,0.481,0.71,0.561750072132811
184,6842.361,7921.866,970.0,0.183,0.71,0.3980072947749989
185,20654.0,6445.0,1305.0,0.68,0.7,0.8920345080861634
186,4902.394,6760.422,959.0,0.676,0.7,0.8389341761092408
187,4372.395,6423.466,837.0,0.879,0.7,0.7460745991895583
188,4964.6,6649.0,1056.0,0.738,0.7,0.6470175610449331
189,5315.348,3201.014,1126.48,0.286,0.7,0.3979798025792911
190,6500.656,7831.902,931.0,22.424,0.69,8.889559998153992
191,9558.941,3114.694,1415.709,4.921,0.69,5.4225744709017905
192,5817.0,7768.0,721.0,1.094,0.69,1.0958056179290632
193,4962.0,6661.0,1045.0,0.102,0.69,0.5699734155221761
194,12448.019,9465.28,1366.139,0.246,0.69,0.3956799163164025
195,6777.825,7997.316,955.0,0.182,0.69,0.32223450217247257
196,5290.0,6460.0,1204.0,0.146,0.69,0.27068006843822157
197,4916.8,6713.0,1005.0,5.153,0.68,3.0170020448920702
198,4711.0,6292.0,1057.0,0.693,0.68,0.7240198488303078
199,9748.088,7293.679,1274.99,0.165,0.68,0.5837658820234913
200,6846.961,7923.449,968.0,0.422,0.68,0.469995108362949
201,4916.0,6713.0,1005.0,0.471,0.68,0.4689937172507829
202,4685.526,6211.428,1080.0,0.555,0.68,0.46022297164115367
203,4587.0,6403.0,1007.0,0.119,0.68,0.30117092335856
204,10777.316,5702.359,1551.11,0.135,0.68,0.2668137534140204
205,8247.712,8643.854,1008.0,0.176,0.68,0.20022816177878586
206,4769.826,6597.82,956.0,4.187,0.67,3.0628936452093836
207,6412.0,8294.0,698.0,1.377,0.67,1.204123623439139
208,6529.503,7821.969,941.609,1.118,0.67,1.0795763742983888
209,6525.819,7759.798,971.0,0.836,0.67,1.0649443604294155
210,4650.153,6304.18,1061.0,0.255,0.67,0.33446932210858754
211,6262.426,7149.453,1169.099,1.125,0.66,1.0556909121753129
212,6766.0,7761.0,1053.0,0.693,0.66,0.8209435439615618
213,7647.106,6134.796,1329.093,0.017,0.66,0.7150526907670305
214,4697.819,6262.421,1090.0,0.403,0.66,0.4704162884131635
215,8400.0,5163.0,1248.0,0.156,0.66,0.24397068341434977
216,6530.422,7826.883,941.609,1.304,0.65,1.0487930333297626
217,5106.18,8329.73,355.0,0.113,0.65,0.19797268997920095
218,5105.0,6609.0,1060.0,0.111,0.64,0.3058885322487993
219,6352.74,6819.014,1352.149,4.363,0.63,3.4489888862811924
220,4963.1,6649.0,1053.0,1.405,0.63,1.0080348664196892
221,6505.977,7827.952,941.609,0.263,0.63,0.4811399400658055
222,6159.193,8369.36,614.0,0.13,0.63,0.21135693573973652
223,4403.0,7712.0,356.0,0.17,0.62,0.3757443884204711
224,4918.146,6702.394,1030.0,0.17,0.62,0.3326355734327616
225,17504.0,8370.0,1297.0,0.029,0.61,1.3790172552148818
226,5548.681,6813.17,1073.0,0.187,0.61,0.45641212295218947
227,13568.183,7743.042,1492.0,0.143,0.6,0.7967095861682079
228,4702.059,6705.683,942.979,0.033,0.59,1.4070324950597664
229,8163.037,6302.033,1422.299,0.171,0.58,0.3634763186725555
230,6529.833,7847.383,936.0,3.389,0.57,3.11427519724926
231,6494.224,7362.694,1055.0,0.01,0.57,1.5395270227310878
232,8057.901,6335.051,1376.543,0.03,0.57,0.6399227532863694
233,6419.0,7850.0,899.0,11.494,0.56,6.1361336576724685
234,8054.946,6334.044,1365.179,0.032,0.55,1.1737557861406385
235,6471.14,6998.602,1227.0,0.868,0.55,0.7408308408459344
236,12418.742,6312.14,1511.66,0.372,0.51,0.4152386927274718
