Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
102,4665.0,7909.0,312.0,0.005,0,0,0.0,0,0.12933911604973974,0,0.06719367588932806,0,0.02,2.451924893087211
103,4687.25,7916.45,314.0,0.0025,0,0,0.2,0,0.1372125852628785,0,0.0,0,0.01,2.451924893087211
104,5556.255,6806.828,1156.639,0.654,1,1,0.6,0,0.3514200038570631,1,0.8947368421052632,1,0.76,2.451924893087211
105,4750.52,7963.7,290.0,0.0025,0,0,0.0,0,0.14149658510099597,0,0.0,0,0.0,2.451924893087211
106,6568.215,7706.599,1054.389,0.073,0,1,0.6,0,0.20801033096100685,0,0.0,0,0.07,2.396584623362246
107,10793.805,7197.368,1359.29,0.0025,0,0,0.0,0,0.03546332715099266,0,0.0,0,0.0,2.3936371464250117
108,9558.941,3114.694,1415.709,4.921,1,1,1.0,1,1.0,1,1.0,1,0.69,2.3426734991359717
109,4421.501,7521.07,383.0,0.0025,0,0,0.0,0,0.04073988458988608,0,0.0,0,0.01,2.329386739482138
110,6350.0,7608.0,910.0,0.026,0,0,0.0,0,0.1351963474895587,0,0.06719367588932806,0,0.08,2.3048112871071442
111,6500.656,7831.902,931.0,22.424,1,1,0.6,0,0.4366102653020717,1,0.8947368421052632,1,0.69,2.301442093150472
112,5712.936,7851.486,710.0,0.0025,0,1,0.6,0,0.23010769192274236,0,0.0,0,0.01,2.2828933619608653
113,10810.606,6402.749,1447.88,0.0025,0,0,0.0,0,0.07550137798488665,0,0.0,0,0.01,2.258915158911733
114,10975.592,6390.034,1497.3,0.0025,0,0,0.0,0,0.0630691947653641,0,0.0,0,0.0,2.258915158911733
115,5962.0,7775.0,743.0,0.006,0,0,0.4,0,0.2135965611926503,0,0.0,0,0.18,2.2580432431630344
116,5228.769,7985.177,543.0,0.0025,0,0,0.0,0,0.049009617655124946,0,0.0,0,0.01,2.253745959901584
