Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba
197,6530.714,7826.906,945.0,2.496,1,1,0.8,0,0.16519123126159727,1,0.8888888888888888
198,6502.193,7783.962,959.0,1.197,1,0,0.2,0,0.18865125497112128,1,0.8888888888888888
199,6498.007,7771.762,960.0,3.216,1,0,0.4,0,0.28489828741408313,1,0.8888888888888888
200,5817.0,7768.0,721.0,1.094,1,1,0.8,0,0.10107286192664469,1,0.8888888888888888
201,6369.0,7187.0,1154.0,0.956,1,0,0.4,0,0.3173925302217449,1,0.8888888888888888
202,7728.064,7196.688,1269.0,0.013,0,0,0.2,0,0.08708253988691002,1,0.8888888888888888
203,4596.0,6494.0,886.0,0.08,0,0,0.0,0,0.050295416492516884,1,0.8888888888888888
204,6529.129,7813.508,941.609,1.999,1,0,0.2,0,0.14018614548710684,1,0.8888888888888888
205,6529.503,7821.969,941.609,1.118,1,0,0.4,0,0.308474453769545,1,0.8888888888888888
206,6530.422,7826.883,941.609,1.304,1,1,0.6,0,0.12405800119092146,1,0.8888888888888888
207,6524.896,7858.805,941.609,0.079,0,0,0.4,0,0.042539858885342584,1,0.8888888888888888
208,4902.394,6760.422,959.0,0.676,1,0,0.4,0,0.3093860035218923,1,0.8888888888888888
209,4620.526,6358.339,1022.22,0.135,1,0,0.4,0,0.29050270151067376,1,0.8888888888888888
210,6525.819,7759.798,971.0,0.836,1,1,0.6,0,0.23633165392145056,1,0.8888888888888888
211,9635.037,5568.045,1435.879,6.095,1,0,0.4,0,0.0916762126124913,1,0.7
212,5106.28,8329.074,355.0,0.027,0,0,0.2,0,0.363542157589122,1,0.7
213,4542.0,6036.0,947.0,0.114,1,0,0.4,0,0.4630142648124385,1,0.7
214,6486.056,8346.481,736.0,0.106,1,0,0.4,0,0.464580182103881,1,0.7
215,5700.862,8006.657,601.0,0.171,1,1,1.0,0,0.27156532965893604,1,0.7
216,14537.849,9549.684,1452.959,0.475,1,1,1.0,1,0.9994685783789888,1,0.7
217,9638.037,5563.973,1435.879,2.193,1,0,0.4,1,0.749189094178457,1,0.7
218,4986.764,8192.549,400.0,0.25,1,0,0.2,0,0.005902824189788644,1,0.7
219,12175.346,10011.087,1386.0,0.011,0,0,0.0,0,0.0015060689726969644,1,0.7
220,4508.0,7800.0,336.0,0.053,0,0,0.4,0,0.12785097579133345,1,0.7
221,4913.4,6713.0,1005.0,0.153,1,0,0.2,0,0.17980589932746494,1,0.6666666666666666
222,8247.712,8643.854,1008.0,0.176,1,1,0.6,1,0.9824013948303969,1,0.6666666666666666
223,5218.0,8313.0,372.0,0.009,0,0,0.0,0,0.0073581948389229756,1,0.6666666666666666
224,12478.483,9389.735,1367.0,0.034,0,0,0.2,0,5.556257892658186e-05,1,0.6666666666666666
225,5105.85,8323.0,360.0,0.006,0,0,0.0,0,0.00044492607298754635,1,0.6666666666666666
226,6298.897,6480.536,1285.0,0.026,0,0,0.2,0,0.04465310003018796,1,0.6666666666666666
227,6848.0,6820.0,1298.0,0.049,0,0,0.4,0,0.13972385799091022,1,0.6666666666666666
