Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,Au_ppm,East,North,Level,is_synthetic
0.107,2.84,18.06,167.82,0.38,0.05,0.05,0.05,13.52,2.49,21.42,3.47,4.42,1.45,4.56,0.025,1.17,1.01,6.72,0.19,271.98,0.85,0.04,2.14,1.44,345.01,12.94,76.82,0.001,0.005,5.84,3.64,0.5,0.53,11.29,0.13,0.025,2.86,0.13,0.54,0.56,35.7,2.17,3.6,25.95,71.61,0,0.0025,5941.0,8500.0,510.0,0
0.427,8.49,4.14,342.81,1.25,0.1,3.34,0.05,40.75,15.41,31.81,21.94,12.09,4.35,18.54,0.12,1.02,2.43,19.61,1.61,925.5,3.19,1.11,5.91,11.83,876.83,8.06,191.74,0.001,0.71,1.68,19.46,0.5,1.26,112.21,0.43,0.063,3.76,0.48,1.73,0.85,147.54,3.68,14.21,70.51,35.01,0,0.006,5337.068,6535.113,1183.0,0
0.449,3.05,10.27,166.0,0.49,0.27,1.64,1.1,16.89,4.46,17.57,6.09,14.17,2.16,7.24,0.07,0.87,0.77,8.21,0.45,362.94,57.5,0.26,1.7,3.35,278.75,11.96,59.4,0.001,0.07,20.87,5.77,0.5,0.4,44.93,0.13,0.44,1.42,0.14,0.48,0.39,63.99,1.72,5.93,221.37,43.99,0,0.034,4615.867,6342.23,1039.0,0
0.129,9.27,39.1,582.12,1.53,0.05,0.36,0.23,56.81,15.44,3.93,61.91,11.67,4.78,20.6,0.15,5.06,3.64,25.33,0.23,1729.47,3.78,0.09,12.32,3.3,769.8,11.34,228.02,0.001,0.02,80.14,11.92,0.5,1.97,37.95,0.82,0.025,9.31,0.42,1.92,3.04,95.79,2.68,29.39,71.21,218.56,0,0.0025,7359.267,8649.93,635.17,0
0.296,6.08,22.69,699.77,1.21,0.15,2.67,0.54,44.8,4.7,12.94,13.98,11.75,1.78,13.21,0.06,2.53,2.65,25.8,0.34,1287.56,2.67,1.38,7.5,3.22,272.49,38.57,129.33,0.001,0.18,6.05,5.65,0.5,2.39,143.42,0.72,0.025,12.56,0.15,1.34,3.36,34.79,1.36,18.39,85.27,84.27,0,0.0025,8687.14,5293.29,1194.68,0
0.078,11.48,10.56,365.79,2.6,0.1,0.09,0.09,106.44,15.83,79.15,6.29,3.03,4.87,25.6,0.13,0.52,3.93,42.85,0.65,800.8,1.53,0.2,23.65,37.69,415.89,4.04,180.08,0.001,0.01,2.42,17.38,0.5,2.45,56.16,1.73,0.025,13.33,0.83,1.46,1.01,108.96,4.29,11.5,36.25,12.27,0,0.0025,0.0,9216.0,817.0,0
0.108,7.66,3.04,774.95,1.35,0.05,1.91,0.22,32.97,20.21,43.3,4.44,34.98,4.94,18.33,0.1,4.1,1.5,16.0,1.63,4918.99,0.26,3.17,6.98,13.26,1070.2,13.38,38.14,0.001,0.01,15.16,19.78,0.5,1.46,331.44,0.55,0.025,3.99,0.53,0.67,1.32,147.99,0.56,17.82,551.88,144.92,0,0.0025,10159.0,8676.0,1065.0,0
41.227,1.34,193.67,90.55,0.38,0.005,0.03,0.18,3.92,0.39,13.44,3.69,12.27,1.22,3.12,0.06,0.28,0.49,2.7,0.05,81.44,8.36,0.03,0.67,1.48,119.36,33.64,32.22,0.001,0.01,25.29,1.4,0.5,0.28,15.81,0.05,0.053,0.82,0.03,0.33,0.31,16.12,0.54,1.27,56.28,8.43,1,0.317,5670.538,6624.916,1218.0,0
0.109,8.58,11.79,215.43,1.01,0.06,3.73,0.06,33.4,15.09,12.37,5.93,12.42,4.11,21.61,0.08,1.38,1.43,16.5,1.34,645.71,0.23,3.08,8.27,5.84,739.87,6.93,78.68,0.001,0.07,2.62,17.21,0.5,1.28,511.49,0.42,0.025,4.08,0.48,0.81,1.2,130.51,0.91,19.93,51.41,44.17,0,0.029,5616.0,6483.0,1292.0,0
1.728,7.6,188.1,552.78,1.71,0.19,0.35,0.15,45.42,18.85,17.27,41.14,20.8,3.62,19.94,0.07,1.75,2.79,23.98,0.37,2198.84,2.0,0.07,5.68,8.57,800.48,17.82,181.98,0.001,0.005,18.46,12.95,0.5,1.47,22.76,0.47,0.09,6.21,0.28,1.8,2.44,82.57,4.64,17.26,61.12,44.15,0,0.026,6298.897,6480.536,1285.0,0
