Codigo,East,North,Level,Au_ppm,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
MUESTRA0030,6118.036,7220.62,1147.359,0.005,0.213,6.43,2.7,701.83,2.05,0.08,0.43,0.51,61.56,0.48,11.11,2.01,3.17,1.21,16.03,0.09,3.07,2.86,29.42,0.03,376.9,3.75,2.85,7.83,0.96,66.85,44.21,119.13,<0.002,<0.01,1.35,8.45,<1,2.73,93.75,0.68,<0.05,15.01,0.07,1.02,3.3,4.11,0.2,18.82,78.01,81.03
MUESTRA0031,5190.027,7115.999,830.949,<0.005,0.118,5.66,3.36,1285.66,1.68,0.18,0.17,0.16,49.78,0.51,18.46,3.74,1.87,1.21,12.45,0.07,2.68,4.27,27.04,0.07,217.67,1.36,1.58,6.78,1.25,37.07,24.55,159.95,<0.002,<0.01,1.01,2.42,<1,2.63,281.19,0.9,<0.05,17.26,0.03,1.53,5.28,1,0.55,18.08,42.35,75
MUESTRA0032,5136.996,6318.009,1292.959,0.082,0.802,1.66,9.33,19.59,0.2,0.49,0.63,<0.02,6.82,3.92,14.91,0.47,199.89,9.81,9.14,<0.05,0.37,0.07,3.06,0.27,345.1,0.29,0.01,1.85,1.29,395.08,3.41,3.66,<0.002,0.09,5.12,4.25,1,3.49,19.77,0.11,0.487,1.08,0.14,0.05,0.18,61.82,0.54,2.4,32.01,8.98
MUESTRA0033,5132.958,6328.05,1292.959,<0.005,0.389,9.37,7.45,578.92,1.19,0.1,4.01,0.19,53.35,18.73,30.46,21.2,42.63,5.19,22.06,0.1,0.96,2.5,22.17,1.44,1273.78,0.99,1.9,7.69,9.79,1008.24,16.73,136.82,<0.002,0.98,2.2,21.31,<1,1.32,239.61,0.49,<0.05,3.67,0.61,1.29,0.66,159.4,1.09,19.29,122.52,32.63
MUESTRA0034,5006.964,6547.981,1146.899,0.01,0.201,7.52,10.35,544.32,1.45,0.25,2.65,0.05,48.73,6.02,20.84,4.8,4.41,2.62,19.48,0.09,1.73,2.93,24.71,0.49,458.09,0.44,1.5,6.65,3.52,451.86,15.9,140.65,<0.002,0.83,1.31,5.46,<1,1.71,186.4,0.56,0.27,9.65,0.25,0.96,2.3,38.35,0.9,17.77,34.16,62.14
MUESTRA0035,5110.048,6320.006,1292.959,0.007,0.159,8.22,3.09,414.57,0.97,0.09,4.35,0.05,46.79,14.89,29.16,6.98,26.43,5.43,18.79,0.12,1.53,1.2,18.79,1.74,1053.43,1.2,1.68,6.19,9.13,798.53,6.03,56.01,<0.002,0.69,0.82,20.97,<1,1.45,406.06,0.46,0.186,6.39,0.49,0.99,1.24,141.37,1.06,23.11,72.44,57.28
MUESTRA0036,5111.019,6689.958,1012.639,<0.005,0.139,8.18,3.45,388.09,1.34,0.05,4.22,0.05,46.27,15.94,40.64,10.33,82.37,5.74,22.78,0.13,0.81,1.49,21.04,1.78,1006.24,0.86,1.82,6.21,11.79,948.34,8.67,81.24,0.002,0.88,1.01,23.19,1.07,1.29,426.7,0.43,0.128,4.59,0.45,1.21,0.9,152.62,1.33,22.52,80.32,26.4
MUESTRA0037,5184.997,6989.987,934.069,<0.005,0.065,8.46,5.71,514.29,1.16,0.05,5.35,0.16,50.13,18.93,31.56,5.77,16.88,5.69,20.99,0.09,3.15,1.08,22.72,1.99,938.24,1.11,1.95,7.59,10.46,899.79,7.79,31.72,<0.002,0.01,1.98,26.49,<1,1.05,402.76,0.53,<0.05,4.75,0.51,0.31,1.41,169.32,0.58,28.44,86.76,110.49
MUESTRA0038,6342.393,6898.786,1302.709,12.985,165.938,2.63,11.86,98.76,0.48,0.05,0.02,0.05,0.25,0.21,12.7,8.35,5.18,0.42,6.04,<0.05,<0.1,1.29,<0.5,0.11,40.4,105.98,0.02,<0.1,0.76,27.88,11.68,101.17,<0.002,<0.01,47.87,0.19,2.06,<0.2,12.96,<0.05,0.154,0.05,<0.005,1.04,<0.1,10.83,0.1,0.2,12.79,0.6
MUESTRA0039,6342.393,6898.786,1302.709,>10.0,>100,2.87,12.01,107.22,0.52,0.05,0.02,0.05,0.23,0.2,11.97,9.02,4.82,0.4,6.09,<0.05,<0.1,1.3,<0.5,0.11,41.42,117.43,0.02,<0.1,0.85,32.44,12.59,90.29,<0.002,<0.01,48.76,0.19,1.86,<0.2,13.6,<0.05,0.149,0.05,<0.005,1.03,<0.1,9.28,0.1,0.21,12.67,0.55
MUESTRA0040,6340.953,6898.741,1302.709,0.014,7.514,6.09,2.51,395.14,1.53,0.1,0.5,0.43,57.13,0.64,5.23,6.6,1.1,1.07,14.22,0.05,3.17,2.25,29.49,0.13,239.08,0.68,1.17,6.61,0.52,63.81,40.34,142.2,<0.002,<0.01,5.63,2.63,<1,1.84,57.35,0.96,<0.05,19.54,0.05,1.22,5.16,1,1.23,16.19,53.67,81.56
MUESTRA0041,6343.687,6864.89,1302.709,10.903,272.63,2.81,3.55,102.46,0.37,0.05,0.03,0.07,0.26,0.11,14.64,4.48,10.19,0.39,4.49,<0.05,<0.1,1.13,<0.5,0.08,43.07,2.13,0.02,0.1,0.61,10.55,14.93,75.5,<0.002,0.01,46.64,0.11,5,<0.2,11.65,<0.05,<0.05,0.07,<0.005,0.73,<0.1,4.35,<0.1,0.11,16.64,0.64
MUESTRA0042,6343.687,6864.89,1302.709,>10.0,>100,2.65,3.69,114.19,0.37,0.05,0.03,0.07,0.24,0.1,14.54,4.84,8.88,0.4,4.78,<0.05,<0.1,1.08,<0.5,0.09,38.96,1.89,0.02,0.1,0.65,10.25,14.76,74.5,<0.002,0.01,46.29,0.1,5.43,<0.2,10.47,<0.05,<0.05,0.07,<0.005,0.75,<0.1,4.37,<0.1,0.1,15.55,0.73
MUESTRA0043,6332.121,6896.556,1302.709,0.039,0.839,6.43,35.54,431.16,0.8,0.08,0.01,<0.02,42.13,0.36,3.2,9.62,6.15,1.36,16.69,<0.05,2.57,3.42,21.56,0.2,88.02,15.33,0.05,5.92,0.43,345.06,12.52,245.07,<0.002,<0.01,8.58,3.85,<1,1.4,9.35,0.56,<0.05,11.04,0.15,2.09,2.18,20.64,1.69,9.91,21.88,94.57
MUESTRA0044,6494.297,6741.99,1352.149,0.188,7.303,2.32,132.76,123.61,0.63,0.05,0.02,0.08,10.89,1.12,15.42,5.53,6.75,1.88,6.2,<0.05,0.54,1.12,5.68,0.1,84.78,27.88,0.03,1.11,1.42,304.35,26.42,74.07,<0.002,0.01,35.9,2.98,<1,0.27,12.28,0.09,<0.05,0.8,0.09,0.78,0.32,36.58,1.04,3.97,23.88,19.4
